,GALAXY_AGN,GALAXY_STARBURST,GALAXY_STARFORMING,GALAXY_nan,QSO_BROADLINE,QSO_nan,STAR_A0,STAR_F5,STAR_F9,STAR_G2,STAR_K1,STAR_K3,STAR_K5
GALAXY_AGN,0.9196666666666666,0.006666666666666667,0.059666666666666666,0.013666666666666667,0.0,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY_STARBURST,0.0023333333333333335,0.9503333333333334,0.04566666666666667,0.001,0.0,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY_STARFORMING,0.028666666666666667,0.057666666666666665,0.8983333333333333,0.013666666666666667,0.0,0.001,0.0003333333333333333,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333
GALAXY_nan,0.03166666666666667,0.011,0.06,0.8883333333333333,0.0,0.007666666666666666,0.0,0.0,0.0003333333333333333,0.0003333333333333333,0.0,0.0003333333333333333,0.0003333333333333333
QSO_BROADLINE,0.0026666666666666666,0.0,0.0,0.0006666666666666666,0.9186666666666666,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSO_nan,0.006333333333333333,0.0,0.0,0.021,0.051333333333333335,0.9196666666666666,0.0003333333333333333,0.0003333333333333333,0.0,0.0,0.0,0.0003333333333333333,0.0006666666666666666
STAR_A0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.9683333333333334,0.03133333333333333,0.0,0.0,0.0,0.0,0.0
STAR_F5,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.05566666666666667,0.9366666666666666,0.0,0.007333333333333333,0.0,0.0,0.0
STAR_F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0003333333333333333,0.0,0.8516666666666667,0.09466666666666666,0.049,0.004333333333333333,0.0
STAR_G2,0.0,0.0,0.0,0.0,0.0,0.0,0.0006666666666666666,0.009,0.015,0.9746666666666667,0.0006666666666666666,0.0,0.0
STAR_K1,0.0,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0003333333333333333,0.0,0.021333333333333333,0.001,0.9226666666666666,0.05433333333333333,0.0
STAR_K3,0.0,0.0,0.0,0.0006666666666666666,0.0,0.0,0.0,0.0,0.0013333333333333333,0.0,0.04766666666666667,0.905,0.04533333333333334
STAR_K5,0.0,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0,0.0003333333333333333,0.0,0.0,0.0,0.027,0.9723333333333334
