,GALAXY_AGN,GALAXY_AGN_BROADLINE,GALAXY_BROADLINE,GALAXY_NORMAL,GALAXY_STARBURST,GALAXY_STARFORMING,QSO_AGN,QSO_AGN_BROADLINE,QSO_BROADLINE,QSO_NORMAL,QSO_STARBURST,QSO_STARBURST_BROADLINE,QSO_STARFORMING,STAR_A0,STAR_A1,STAR_A2,STAR_A4,STAR_A5,STAR_A6,STAR_A8,STAR_A9,STAR_A_METALLIC,STAR_B0,STAR_B1,STAR_B2_B2_5,STAR_B3,STAR_B5,STAR_B8,STAR_B9_B9_5,STAR_BROWN_DWARF_L,STAR_CV,STAR_F0,STAR_F2,STAR_F3,STAR_F5,STAR_F6,STAR_F8,STAR_F9,STAR_G0_G0_5,STAR_G1,STAR_G3,STAR_G4,STAR_G5,STAR_G8,STAR_G9,STAR_K0,STAR_K1,STAR_K2,STAR_K3,STAR_K4,STAR_K5,STAR_M0,STAR_M1,STAR_M2,STAR_M3,STAR_M4_M4_5,STAR_M5,STAR_M6,STAR_M8,STAR_O8,STAR_SUBDWARF_F,STAR_WHITE_DWARF
GALAXY_AGN,0.6166666666666667,0.044444444444444446,0.005555555555555556,0.1111111111111111,0.005555555555555556,0.1,0.027777777777777776,0.0,0.0,0.016666666666666666,0.022222222222222223,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY_AGN_BROADLINE,0.07894736842105263,0.75,0.039473684210526314,0.013157894736842105,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY_BROADLINE,0.014760147601476014,0.04059040590405904,0.6125461254612546,0.14022140221402213,0.0,0.0036900369003690036,0.0,0.0,0.01107011070110701,0.01107011070110701,0.0,0.0036900369003690036,0.0,0.007380073800738007,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0,0.02952029520295203,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.0,0.0,0.0036900369003690036,0.0,0.01845018450184502,0.0,0.0036900369003690036,0.0,0.0,0.0,0.0,0.0,0.0036900369003690036,0.0,0.0036900369003690036,0.0036900369003690036,0.0,0.0,0.0,0.0,0.02952029520295203,0.03690036900369004,0.0,0.0
GALAXY_NORMAL,0.012266666666666667,0.0008,0.06666666666666667,0.6741333333333334,0.017333333333333333,0.05733333333333333,0.0016,0.0,0.005333333333333333,0.034666666666666665,0.0005333333333333334,0.0016,0.0,0.0016,0.0005333333333333334,0.0008,0.0021333333333333334,0.0,0.0,0.0002666666666666667,0.0016,0.0021333333333333334,0.0010666666666666667,0.0018666666666666666,0.0002666666666666667,0.0005333333333333334,0.0002666666666666667,0.0008,0.0005333333333333334,0.0018666666666666666,0.0168,0.0021333333333333334,0.004,0.0002666666666666667,0.0005333333333333334,0.0013333333333333333,0.0013333333333333333,0.0005333333333333334,0.0029333333333333334,0.0002666666666666667,0.0018666666666666666,0.0010666666666666667,0.016,0.0018666666666666666,0.0016,0.0021333333333333334,0.0008,0.0,0.0018666666666666666,0.0192,0.005066666666666666,0.0,0.0034666666666666665,0.0024,0.0002666666666666667,0.0008,0.0008,0.0021333333333333334,0.005866666666666667,0.010666666666666666,0.0005333333333333334,0.0029333333333333334
GALAXY_STARBURST,0.002012072434607646,0.0,0.0,0.02414486921529175,0.8309859154929577,0.11670020120724346,0.002012072434607646,0.0,0.0,0.002012072434607646,0.018108651911468814,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012072434607646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GALAXY_STARFORMING,0.04129793510324484,0.0014749262536873156,0.0014749262536873156,0.13421828908554573,0.07964601769911504,0.6814159292035398,0.007374631268436578,0.0014749262536873156,0.0029498525073746312,0.011799410029498525,0.007374631268436578,0.007374631268436578,0.004424778761061947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014749262536873156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014749262536873156,0.0,0.0,0.0,0.0014749262536873156,0.0,0.0014749262536873156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014749262536873156,0.0,0.0014749262536873156,0.0014749262536873156,0.0,0.0014749262536873156,0.0014749262536873156,0.0,0.0,0.0,0.0029498525073746312,0.0,0.0,0.0014749262536873156,0.0,0.0
QSO_AGN,0.008695652173913044,0.0,0.0,0.0,0.017391304347826087,0.008695652173913044,0.6521739130434783,0.008695652173913044,0.0,0.0782608695652174,0.08695652173913043,0.13043478260869565,0.008695652173913044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSO_AGN_BROADLINE,0.0,0.005681818181818182,0.0,0.0,0.0,0.0,0.017045454545454544,0.7556818181818182,0.028409090909090908,0.0,0.005681818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QSO_BROADLINE,0.00044306601683650863,0.00044306601683650863,0.00044306601683650863,0.002658396101019052,0.0,0.0008861320336730173,0.0,0.002658396101019052,0.8409392999556934,0.10456357997341603,0.0,0.0460788657509969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044306601683650863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044306601683650863,0.0,0.0
QSO_NORMAL,0.0005333333333333334,0.0,0.0002666666666666667,0.027466666666666667,0.0008,0.0021333333333333334,0.0048,0.0010666666666666667,0.054933333333333334,0.8829333333333333,0.0048,0.006933333333333333,0.0010666666666666667,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0010666666666666667,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0002666666666666667,0.0002666666666666667,0.0005333333333333334,0.0002666666666666667,0.0,0.0002666666666666667,0.0002666666666666667,0.0,0.0008,0.0,0.0,0.0,0.0,0.0005333333333333334,0.0002666666666666667,0.0,0.0002666666666666667,0.0,0.0002666666666666667,0.0,0.0010666666666666667,0.0,0.0002666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0002666666666666667,0.0032
