n_per_class,method,seed,accuracy
2,classical_rbf,0,0.284105
2,classical_rbf,1,0.352941
2,classical_rbf,2,0.329161
2,classical_rbf,3,0.441802
2,classical_rbf,4,0.389237
2,classical_rbf,5,0.450563
2,classical_rbf,6,0.458073
2,classical_rbf,7,0.196496
2,qsvm_fidelity,0,0.315394
2,qsvm_fidelity,1,0.384230
2,qsvm_fidelity,2,0.317897
2,qsvm_fidelity,3,0.385482
2,qsvm_fidelity,4,0.379224
2,qsvm_fidelity,5,0.473091
2,qsvm_fidelity,6,0.464330
2,qsvm_fidelity,7,0.244055
2,qsvm_projected,0,0.249061
2,qsvm_projected,1,0.421777
2,qsvm_projected,2,0.291615
2,qsvm_projected,3,0.291615
2,qsvm_projected,4,0.357947
2,qsvm_projected,5,0.493116
2,qsvm_projected,6,0.277847
2,qsvm_projected,7,0.286608
5,classical_rbf,0,0.501877
5,classical_rbf,1,0.408010
5,classical_rbf,2,0.455569
5,classical_rbf,3,0.498123
5,classical_rbf,4,0.385482
5,classical_rbf,5,0.350438
5,classical_rbf,6,0.483104
5,classical_rbf,7,0.331665
5,qsvm_fidelity,0,0.469337
5,qsvm_fidelity,1,0.423029
5,qsvm_fidelity,2,0.424280
5,qsvm_fidelity,3,0.514393
5,qsvm_fidelity,4,0.491865
5,qsvm_fidelity,5,0.360451
5,qsvm_fidelity,6,0.486859
5,qsvm_fidelity,7,0.405507
5,qsvm_projected,0,0.394243
5,qsvm_projected,1,0.382979
5,qsvm_projected,2,0.357947
5,qsvm_projected,3,0.399249
5,qsvm_projected,4,0.426783
5,qsvm_projected,5,0.312891
5,qsvm_projected,6,0.397997
5,qsvm_projected,7,0.349186
10,classical_rbf,0,0.490613
10,classical_rbf,1,0.496871
10,classical_rbf,2,0.573217
10,classical_rbf,3,0.574468
10,classical_rbf,4,0.563204
10,classical_rbf,5,0.508135
10,classical_rbf,6,0.418023
10,classical_rbf,7,0.474343
10,qsvm_fidelity,0,0.531915
10,qsvm_fidelity,1,0.504380
10,qsvm_fidelity,2,0.555695
10,qsvm_fidelity,3,0.580726
10,qsvm_fidelity,4,0.544431
10,qsvm_fidelity,5,0.510638
10,qsvm_fidelity,6,0.603254
10,qsvm_fidelity,7,0.551940
10,qsvm_projected,0,0.415519
10,qsvm_projected,1,0.426783
10,qsvm_projected,2,0.429287
10,qsvm_projected,3,0.451815
10,qsvm_projected,4,0.454318
10,qsvm_projected,5,0.478098
10,qsvm_projected,6,0.401752
10,qsvm_projected,7,0.426783
20,classical_rbf,0,0.580726
20,classical_rbf,1,0.565707
20,classical_rbf,2,0.558198
20,classical_rbf,3,0.529412
20,classical_rbf,4,0.615770
20,classical_rbf,5,0.624531
20,classical_rbf,6,0.499374
20,classical_rbf,7,0.608260
20,qsvm_fidelity,0,0.574468
20,qsvm_fidelity,1,0.586984
20,qsvm_fidelity,2,0.513141
20,qsvm_fidelity,3,0.590738
20,qsvm_fidelity,4,0.632040
20,qsvm_fidelity,5,0.610763
20,qsvm_fidelity,6,0.548185
20,qsvm_fidelity,7,0.629537
20,qsvm_projected,0,0.438048
20,qsvm_projected,1,0.513141
20,qsvm_projected,2,0.493116
20,qsvm_projected,3,0.499374
20,qsvm_projected,4,0.521902
20,qsvm_projected,5,0.508135
20,qsvm_projected,6,0.489362
20,qsvm_projected,7,0.536921
50,classical_rbf,0,0.619524
50,classical_rbf,1,0.637046
50,classical_rbf,2,0.650814
50,classical_rbf,3,0.628285
50,classical_rbf,4,0.618273
50,classical_rbf,5,0.662078
50,classical_rbf,6,0.620776
50,classical_rbf,7,0.604506
50,qsvm_fidelity,0,0.638298
50,qsvm_fidelity,1,0.644556
50,qsvm_fidelity,2,0.643304
50,qsvm_fidelity,3,0.649562
50,qsvm_fidelity,4,0.653317
50,qsvm_fidelity,5,0.684606
50,qsvm_fidelity,6,0.639549
50,qsvm_fidelity,7,0.668335
50,qsvm_projected,0,0.564456
50,qsvm_projected,1,0.578223
50,qsvm_projected,2,0.583229
50,qsvm_projected,3,0.615770
50,qsvm_projected,4,0.514393
50,qsvm_projected,5,0.534418
50,qsvm_projected,6,0.556946
50,qsvm_projected,7,0.609512
100,classical_rbf,0,0.648310
100,classical_rbf,1,0.692115
100,classical_rbf,2,0.655820
100,classical_rbf,3,0.685857
100,classical_rbf,4,0.693367
100,classical_rbf,5,0.673342
100,classical_rbf,6,0.680851
100,classical_rbf,7,0.682103
100,qsvm_fidelity,0,0.673342
100,qsvm_fidelity,1,0.677096
100,qsvm_fidelity,2,0.669587
100,qsvm_fidelity,3,0.679599
100,qsvm_fidelity,4,0.685857
100,qsvm_fidelity,5,0.675845
100,qsvm_fidelity,6,0.659574
100,qsvm_fidelity,7,0.680851
100,qsvm_projected,0,0.632040
100,qsvm_projected,1,0.639549
100,qsvm_projected,2,0.605757
100,qsvm_projected,3,0.624531
100,qsvm_projected,4,0.614518
100,qsvm_projected,5,0.617021
100,qsvm_projected,6,0.615770
100,qsvm_projected,7,0.603254
200,classical_rbf,0,0.712140
200,classical_rbf,1,0.728411
200,classical_rbf,2,0.707134
200,classical_rbf,3,0.759700
200,classical_rbf,4,0.712140
200,classical_rbf,5,0.735920
200,classical_rbf,6,0.718398
200,classical_rbf,7,0.742178
200,qsvm_fidelity,0,0.707134
200,qsvm_fidelity,1,0.705882
200,qsvm_fidelity,2,0.715895
200,qsvm_fidelity,3,0.715895
200,qsvm_fidelity,4,0.694618
200,qsvm_fidelity,5,0.705882
200,qsvm_fidelity,6,0.705882
200,qsvm_fidelity,7,0.719650
200,qsvm_projected,0,0.647059
200,qsvm_projected,1,0.638298
200,qsvm_projected,2,0.649562
200,qsvm_projected,3,0.665832
200,qsvm_projected,4,0.675845
200,qsvm_projected,5,0.684606
200,qsvm_projected,6,0.629537
200,qsvm_projected,7,0.672090
