n_per_class,method,seed,accuracy
2,classical_rbf,0,0.267835
2,classical_rbf,1,0.351690
2,classical_rbf,2,0.334168
2,classical_rbf,3,0.347935
2,classical_rbf,4,0.406758
2,classical_rbf,5,0.418023
2,classical_rbf,6,0.392991
2,classical_rbf,7,0.204005
2,qsvm_fidelity,0,0.267835
2,qsvm_fidelity,1,0.336671
2,qsvm_fidelity,2,0.266583
2,qsvm_fidelity,3,0.349186
2,qsvm_fidelity,4,0.375469
2,qsvm_fidelity,5,0.436796
2,qsvm_fidelity,6,0.406758
2,qsvm_fidelity,7,0.282854
2,qsvm_projected,0,0.260325
2,qsvm_projected,1,0.387985
2,qsvm_projected,2,0.362954
2,qsvm_projected,3,0.320401
2,qsvm_projected,4,0.362954
2,qsvm_projected,5,0.458073
2,qsvm_projected,6,0.267835
2,qsvm_projected,7,0.241552
5,classical_rbf,0,0.484355
5,classical_rbf,1,0.389237
5,classical_rbf,2,0.408010
5,classical_rbf,3,0.471840
5,classical_rbf,4,0.399249
5,classical_rbf,5,0.332916
5,classical_rbf,6,0.458073
5,classical_rbf,7,0.361702
5,qsvm_fidelity,0,0.463079
5,qsvm_fidelity,1,0.371715
5,qsvm_fidelity,2,0.382979
5,qsvm_fidelity,3,0.451815
5,qsvm_fidelity,4,0.367960
5,qsvm_fidelity,5,0.316646
5,qsvm_fidelity,6,0.458073
5,qsvm_fidelity,7,0.386733
5,qsvm_projected,0,0.399249
5,qsvm_projected,1,0.428035
5,qsvm_projected,2,0.404255
5,qsvm_projected,3,0.406758
5,qsvm_projected,4,0.382979
5,qsvm_projected,5,0.327910
5,qsvm_projected,6,0.429287
5,qsvm_projected,7,0.424280
10,classical_rbf,0,0.464330
10,classical_rbf,1,0.485607
10,classical_rbf,2,0.516896
10,classical_rbf,3,0.520651
10,classical_rbf,4,0.469337
10,classical_rbf,5,0.524406
10,classical_rbf,6,0.550688
10,classical_rbf,7,0.526909
10,qsvm_fidelity,0,0.494368
10,qsvm_fidelity,1,0.449312
10,qsvm_fidelity,2,0.450563
10,qsvm_fidelity,3,0.500626
10,qsvm_fidelity,4,0.456821
10,qsvm_fidelity,5,0.480601
10,qsvm_fidelity,6,0.534418
10,qsvm_fidelity,7,0.463079
10,qsvm_projected,0,0.470588
10,qsvm_projected,1,0.451815
10,qsvm_projected,2,0.396746
10,qsvm_projected,3,0.445557
10,qsvm_projected,4,0.464330
10,qsvm_projected,5,0.400501
10,qsvm_projected,6,0.458073
10,qsvm_projected,7,0.376721
20,classical_rbf,0,0.543179
20,classical_rbf,1,0.519399
20,classical_rbf,2,0.536921
20,classical_rbf,3,0.519399
20,classical_rbf,4,0.617021
20,classical_rbf,5,0.560701
20,classical_rbf,6,0.503129
20,classical_rbf,7,0.573217
20,qsvm_fidelity,0,0.499374
20,qsvm_fidelity,1,0.513141
20,qsvm_fidelity,2,0.449312
20,qsvm_fidelity,3,0.513141
20,qsvm_fidelity,4,0.571965
20,qsvm_fidelity,5,0.560701
20,qsvm_fidelity,6,0.503129
20,qsvm_fidelity,7,0.584481
20,qsvm_projected,0,0.450563
20,qsvm_projected,1,0.440551
20,qsvm_projected,2,0.453066
20,qsvm_projected,3,0.440551
20,qsvm_projected,4,0.481852
20,qsvm_projected,5,0.466834
20,qsvm_projected,6,0.440551
20,qsvm_projected,7,0.419274
50,classical_rbf,0,0.622028
50,classical_rbf,1,0.625782
50,classical_rbf,2,0.634543
50,classical_rbf,3,0.650814
50,classical_rbf,4,0.590738
50,classical_rbf,5,0.625782
50,classical_rbf,6,0.627034
50,classical_rbf,7,0.632040
50,qsvm_fidelity,0,0.614518
50,qsvm_fidelity,1,0.578223
50,qsvm_fidelity,2,0.585732
50,qsvm_fidelity,3,0.630788
50,qsvm_fidelity,4,0.615770
50,qsvm_fidelity,5,0.624531
50,qsvm_fidelity,6,0.602003
50,qsvm_fidelity,7,0.609512
50,qsvm_projected,0,0.510638
50,qsvm_projected,1,0.565707
50,qsvm_projected,2,0.493116
50,qsvm_projected,3,0.558198
50,qsvm_projected,4,0.506884
50,qsvm_projected,5,0.485607
50,qsvm_projected,6,0.449312
50,qsvm_projected,7,0.516896
100,classical_rbf,0,0.654568
100,classical_rbf,1,0.667084
100,classical_rbf,2,0.669587
100,classical_rbf,3,0.687109
100,classical_rbf,4,0.679599
100,classical_rbf,5,0.658323
100,classical_rbf,6,0.650814
100,classical_rbf,7,0.662078
100,qsvm_fidelity,0,0.648310
100,qsvm_fidelity,1,0.609512
100,qsvm_fidelity,2,0.627034
100,qsvm_fidelity,3,0.670839
100,qsvm_fidelity,4,0.643304
100,qsvm_fidelity,5,0.643304
100,qsvm_fidelity,6,0.637046
100,qsvm_fidelity,7,0.642053
100,qsvm_projected,0,0.540676
100,qsvm_projected,1,0.511890
100,qsvm_projected,2,0.563204
100,qsvm_projected,3,0.578223
100,qsvm_projected,4,0.551940
100,qsvm_projected,5,0.564456
100,qsvm_projected,6,0.563204
100,qsvm_projected,7,0.541927
200,classical_rbf,0,0.705882
200,classical_rbf,1,0.704631
200,classical_rbf,2,0.703379
200,classical_rbf,3,0.728411
200,classical_rbf,4,0.704631
200,classical_rbf,5,0.719650
200,classical_rbf,6,0.683354
200,classical_rbf,7,0.715895
200,qsvm_fidelity,0,0.678348
200,qsvm_fidelity,1,0.658323
200,qsvm_fidelity,2,0.673342
200,qsvm_fidelity,3,0.667084
200,qsvm_fidelity,4,0.660826
200,qsvm_fidelity,5,0.679599
200,qsvm_fidelity,6,0.653317
200,qsvm_fidelity,7,0.678348
200,qsvm_projected,0,0.579474
200,qsvm_projected,1,0.576971
200,qsvm_projected,2,0.590738
200,qsvm_projected,3,0.584481
200,qsvm_projected,4,0.602003
200,qsvm_projected,5,0.610763
200,qsvm_projected,6,0.589487
200,qsvm_projected,7,0.588235
